habilidad_cliente,nivel_cliente,Concat_Habilidad_UBITS
Análisis de negocios - N1 - E,Básico (Nivel 1),"15720,201584,1019,203203,7925,7487,16502,7945,766,121,1064,19575,201557,18936,201583,7903,23453,16,8,914,19571,201055,201049,201595,2105,201254,26633,202049,3889,200262,19193,418,3993,15803,23417,26591,198,7770,201150,20080,1923,6571,1535,27675,18147,201250,712,48,200326,3278,395,16139,8031,19570,201552,201572,201183,1202,20018,19805,73,201951,18903,19003,682,202028,202485,6934,3425,8143,203045,201575,20017,15958,26668,15738,6669,7993,8908,9362,19091,202923,202057,11536,201590,26625,1445,6644,15747,202097,7902,13862,200493,8773,16678,201026,200609,ID,51,202000"
Análisis de negocios - N2 - E,Intermedio (Nivel 2),"7487,26625,11536,ID,354,201572,9911,26620,2008,288,26633,15720,202419,26668,3889,2105,8,15738,2056,1097,7945,45,202437,2175,1591,202055,202966,3779,3370,800,26646,1505,2088,2151,7974,610,395,7925,1087,15327,2271,26645,203203,11540,26661,16408,198,201021,2288,3495,292,9089,1698,29127,553,202364,29247,8874,364,682,27675,8095,6611,3494,7770,17159,784,1563,26643,11538,8154,1270,7917,16502,7655,27550,8130,3518,13,26649,29124,26664,203662,362,202444,24950,234,3390,1535,2144,29117,2054,518,26640,1035,1523,799,2017,439,8091"
Análisis de negocios - N3 - E,Intermedio (Nivel 3),"7945,7487,15720,2105,203203,19575,8,26633,26625,26668,7925,198,418,395,201584,3889,201049,19571,202485,26620,201595,19091,45,26591,ID,29247,1535,1019,202364,15,432,2008,3993,7917,1097,1087,682,27675,11536,201572,204106,1591,3390,26649,201552,8095,201557,9911,16502,201123,6611,201596,1923,200326,7923,202055,3494,7733,8773,1283,201136,16,29127,799,20080,202049,204192,29117,19789,610,204250,766,26661,2144,26641,8091,26294,11540,1297,1301,671,1269,712,3278,7902,201336,7903,5271,7993,11457,202047,202437,354,3779,18936,518,121,1064,666,200291"
Análisis de negocios - N4 - E,Avanzado (Nivel 4),"19575,19571,3889,7770,19570,19091,2271,201596,7945,201936,201932,8783,3278,15338,201951,201557,7855,201584,7903,7925,25394,19193,15867,3779,19789,201125,2137,201049,202199,19605,200500,202959,17354,203203,19835,201572,16111,202046,7851,202057,2105,364,203065,19585,17378,202437,25954,1535,19587,7487,3425,201426,16502,1523,27675,1923,15803,3993,24456,3495,18936,663,26675,671,16170,200700,15,16371,2175,202951,19583,4137,15548,16967,6686,15677,8063,201571,18596,202733,9871,25962,16678,7894,200563,15831,8780,11983,8,6673,201021,2008,18056,664,15738,1864,2116,1064,716,29397"
Análisis de negocios - N1 - H,Básico (Nivel 1),"432,203203,1283,5271,26633,6653,202444,202047,200576,716,8773,15327,201027,201572,8,433,19575,3494,201932,610,1535,1064,666,7945,201552,1269,3889,201083,2175,202437,2046,7925,7770,7487,201595,16502,7840,20,2538,201054,201473,15,7988,201069,364,202485,3747,1923,15738,45,26641,7851,204135,26143,201172,2176,3278,201064,3390,201548,784,203043,26649,202725,1591,200157,17159,61,202055,2288,200600,16408,202057,200598,7733,201136,2144,7855,354,19091,20386,200263,29247,202063,26625,15720,202049,835,2008,1518,16,8091,201557,201332,1035,12621,200609,26182,7982,8063"
Análisis de negocios - N2 - H,Intermedio (Nivel 2),"7925,19091,19575,203203,7945,3889,26649,201596,26625,16538,716,4137,2105,7487,201932,15738,201572,15,27675,19571,203043,24456,9911,8,201951,201595,201125,418,7855,73,7851,202733,16967,1064,25954,201557,2271,201426,1591,3993,20386,19570,198,671,7770,2137,7903,16502,15720,201049,26641,202437,8930,201584,20080,8063,202959,9344,819,433,663,432,26633,202951,6934,15867,19583,8084,15327,5271,203063,1019,204256,202419,201136,6686,2210,25962,34,25006,200326,1202,25668,2116,200160,19587,201183,7988,8925,395,3494,7923,23448,201576,26620,27015,1864,3278,6873,202057"
Análisis de negocios - N3 - H,Intermedio (Nivel 3),"19585,17378,2144,15867,6626,7770,3889,201463,202959,201471,202947,202950,21522,7925,201462,202046,2140,17354,201473,27491,201452,27537,3494,202943,2288,26656,6575,202960,202949,202955,19575,7807,202946,202963,19571,202957,202951,201472,201455,27542,26645,202057,14562,1064,202940,3779,201557,26620,18857,25668,3412,200700,6673,202965,6599,204106,19599,202953,201461,27480,26633,4140,201477,7904,8084,26668,27519,7908,8,7892,26640,202411,201595,26641,225,27532,201456,204108,3495,201457,16520,6674,7903,20386,630,19091,6586,202055,27487,201479,150,202956,202958,27485,26649,25006,202962,362,202409,433"
Análisis de negocios - N4 - H,Avanzado (Nivel 4),"19091,19575,201572,8,16502,201595,7925,16538,19571,7945,203043,203029,15290,362,1064,201596,354,203203,2176,15327,26625,20080,6653,61,203071,201254,15720,201463,3237,16810,16111,2175,201583,15317,201250,26649,19583,201348,18936,121,203643,2210,8773,16678,201336,23448,5271,432,4140,835,202923,26620,75,19587,135,14418,201054,16512,7970,1535,16,2150,8063,26633,201069,9156,9147,201584,281,15,347,2008,7993,19570,16408,1097,202485,9911,1566,2288,201021,201183,2054,15738,201055,204115,1202,200160,8091,201083,433,11457,31,8159,1019,8925,12892,26641,19805,202733"
Análisis de negocios - N1 - M,Básico (Nivel 1),"16502,201583,15316,202923,121,15317,203045,3928,201033,16,292,19575,201055,7925,201586,26633,15738,26620,26591,15720,354,1277,8,61,2176,201572,1439,22872,8031,353,16678,6653,201054,201250,11538,203203,16538,201119,17422,1064,19091,1202,16512,11536,201080,202057,201090,159,201183,18147,1019,201254,2021,202364,26625,1455,8020,201142,16710,2210,362,19587,7840,204106,16177,23417,4140,203029,9344,5397,6635,201595,1301,26143,24929,201348,1097,18936,2056,15997,7733,6644,16111,11457,201150,296,16560,26674,201570,914,2054,201177,8863,7993,203041,8091,225,203071,201972,1986"
Análisis de negocios - N2 - M,Intermedio (Nivel 2),"203203,16502,202959,19575,8767,7945,8037,202953,201472,21138,201584,203058,201049,1064,21355,18936,201577,202057,15867,7925,17378,19585,8084,1202,7855,7913,202049,202946,202951,202172,201083,1923,204079,16678,202056,15536,225,15338,26656,18871,29257,15548,25394,201250,7903,201595,766,27532,201254,18857,15,201452,121,18584,201571,201596,19571,19091,8087,204256,202940,6626,202742,6661,3909,1181,201583,1283,18861,45,16512,203041,201180,432,15326,26615,201266,15554,7902,13701,202967,8159,6571,26602,201557,14947,18877,630,20053,203045,24243,26143,6674,18744,202950,22853,27519,8773,201164,19193"
